fid,OBJECTID,SHAPE_Leng,SHAPE_Area,Notes,CLASSIFICA,survey_id,id,X,Y,slope_mean,diff_min,diff_max,diff_mea_1,vol_diff,DI_sum,DI_mean,DI_max,DI_range
1,"2",15.534692439300001,6.321537448830000,,2b,,,,,22.163044248308456,-0.469085723161697,-0.140344634652138,-0.336797739778246,-2.120000000000000,1652.591690063476563,236.084527151925215,252.917343139648438,28.357757568359375
2,"3",16.217291425399999,8.357765716079999,,2b,,,,,23.522475984361435,-0.385103255510330,-0.097967162728310,-0.256137023369471,-2.140000000000000,1878.381423950195313,208.709047105577270,240.932769775390625,74.909042358398438
3,"4",38.948344922899999,60.233354121100000,,2b,,,,,22.780346775054930,-0.590200424194336,0.240821823477745,-0.258335231244564,-15.500000000000000,15824.309204101562500,263.738486735026015,677.304748535156250,538.755645751953125
4,"5",19.866311746800001,15.853297385399999,,2b,,,,,23.774649556477865,-0.494504958391190,0.114301666617393,-0.307882843445986,-4.880000000000000,2346.841789245605469,156.456119283040351,242.241500854492188,121.418067932128906
5,"6",16.952596467199999,17.134793614199999,,2b,,,,,25.872736394405365,-0.417198210954666,-0.040082946419716,-0.269854689948261,-4.620000000000000,3884.960372924804688,242.810023307800293,396.054962158203125,289.325668334960938
6,"8",23.891391046300001,36.583582025600002,,2b,,,,,23.529870722028946,-0.382993727922440,0.131534561514854,-0.177739110257890,-6.500000000000000,3714.165081024169922,103.171252250671387,236.954116821289063,185.513774871826172
7,"9",50.042599539199998,114.121386004000001,,2b,,,,,23.440947877949682,-0.529241561889648,0.261169403791428,-0.208381707052530,-23.699999999999999,18782.645744323730469,161.919359864859757,425.849548339843750,346.163337707519531
8,"10",18.721698946600000,18.513192202599999,,2b,,,,,25.577282587687176,-0.494648009538651,0.036342605948448,-0.306784443557262,-5.670000000000000,2827.256599426269531,157.069811079237184,207.536117553710938,123.836906433105469
9,"11",16.020198415599999,15.683535364500001,,2b,,,,,24.579344969529373,-0.346214324235916,0.077350601553917,-0.170146521467429,-2.660000000000000,2001.914985656738281,153.993460435133727,185.531082153320313,69.052238464355469
10,"12",18.201626660999999,22.541873034200002,,2b,,,,,23.291200002034504,-0.381263762712479,0.242349609732628,-0.099967180440823,-2.250000000000000,4008.320930480957031,167.013372103373200,224.901123046875000,132.705360412597656
11,"13",13.570090351199999,7.777170328440000,,2b,,,,,23.420166969299316,-0.385602980852127,0.062156662344933,-0.166731139644980,-1.290000000000000,746.095355987548828,93.261919498443604,136.275115966796875,75.321430206298828
12,"14",24.783204317999999,26.115692874200001,,2b,,,,,23.114126134801793,-0.648674011230469,0.001613601692952,-0.344711744687865,-9.000000000000000,3070.174176216125488,113.710154674671315,800.512329101562500,784.566115379333496
13,"15",7.234548928870000,3.244305258300000,,2b,,,,,32.591429710388184,-0.179552093148232,-0.115278258919716,-0.147415176033974,-0.470000000000000,176.099678039550781,88.049839019775391,91.597160339355469,7.094642639160156
14,"16",4.457433932020000,1.210398229600000,,2b,,,,,28.251287542826450,-0.024684920907021,0.150056824088097,0.038792948164095,0.047000000000000,93.160801336878009,76.967066764339037,104.302337646484375,47.848289489746094
15,"17",17.202406555700001,17.019981617799999,,2b,,,,,25.264838006761337,-0.405700713396072,0.173633560538292,-0.148312482568953,-2.520000000000000,2623.058876037597656,145.725493113199860,207.116867065429688,114.785743713378906
16,"18",20.215760799100000,27.560028291799998,,2b,,,,,25.862590332031250,-0.508489608764648,0.461452454328537,-0.205203878297470,-5.650000000000000,4427.624252319335938,177.104970092773442,243.171707153320313,169.627792358398438
17,"19",9.395737124800000,5.495032137310000,,2b,,,,,27.598350906372069,-0.309680968523026,-0.007198349107057,-0.194398519489914,-1.060000000000000,603.655349731445313,120.731069946289068,148.201721191406250,54.265403747558594
18,"20",13.987983529099999,10.170532760800000,,2b,,,,,22.737735960218643,-0.411060363054276,0.048971161246300,-0.177161342567868,-1.800000000000000,3474.103843688964844,386.011538187662779,634.011108398437500,525.266288757324219
19,"21",12.817079079499999,5.135247533060000,,2b,,,,,23.674186388651531,-0.362981826066971,0.061183914542198,-0.187398294607798,-0.960000000000000,1682.432327270507813,280.405387878417969,393.268890380859375,202.391159057617188
20,"22",18.168295319100000,18.030990037799999,,2b,,,,,26.601301754222195,-0.544744491577148,0.177381500601768,-0.238672167939298,-4.300000000000000,2395.247192382812500,140.896893669577196,241.814468383789063,159.918693542480469
21,"25",11.294824431700000,8.485526263590000,,2b,,,,,24.164137946234810,-0.431343108415604,0.183757767081261,-0.154278667436706,-1.300000000000000,724.306221008300781,80.478469000922303,112.489471435546875,49.966567993164063
22,"23",11.235951596400000,7.045918896900000,,2a,,,,,30.181413105555944,-0.349723845720291,0.151828750967979,-0.093353018164635,-0.650000000000000,865.046287536621094,123.578041076660156,197.808212280273438,111.482643127441406
23,"24",6.499819022760000,2.495488504670000,,2a,,,,,34.500088691711426,-0.217542663216591,0.172138199210167,0.070605263113976,0.176000000000000,800.717056274414063,200.179264068603516,223.906494140625000,54.099182128906250
24,"7",25.976477036599999,24.126879708699999,,2a,,,,,28.367424240112303,-0.421892195940018,0.179199203848839,-0.087787952423096,-2.110000000000000,7689.432502746582031,307.577300109863302,854.575866699218750,780.006401062011719
